,PS1,PS3,PS4,PS5,EPS1,VS1
706,-0.009926714147544775,0.07543207359059383,-0.20984588853816255,-0.010044764271997617,-0.005426892435680316,0.07518470393714675
949,-0.011772822652064346,0.0752776552130336,-0.2106649440178359,-0.03679649255215593,-0.04004075756441065,-0.05559707211632421
334,-0.016527124085461295,-0.06786801808717496,-0.2153105785578134,-0.006607332624839799,-0.005781132881565683,-0.05955956600309039
1890,0.06746720085333971,0.014512683437264987,0.18528122502293723,0.032170853314896886,-0.008205514188831095,-0.006294173672491276
102,-0.012756982058714568,-0.07682299597415043,-0.21605328039846883,-0.03474737095218309,-0.004711383277688287,0.0798462364982974
2074,-0.019380840714845957,-0.020594028987462622,0.1896222573883308,0.031092468436875527,0.04421155472899649,-0.003916264239311113
309,-0.012773142112649266,-0.07105094578281436,-0.20983528785348182,-0.007149758464971642,-0.00747095732602027,0.07441767624849228
695,-0.008264829442578654,0.07668682563387155,-0.211482273502659,-0.0051029127185969,-0.005653933226008619,-0.047181679792407484
175,-0.008699472274133428,-0.07794263816357248,-0.20945810173353652,-0.03136497537584035,-0.007974676934501768,0.07757220277138281
1511,0.07564028133425081,0.011888252126356394,0.09089695831315098,0.02929454997798816,-0.010444310285764565,-0.00306529139033
78,-0.011028186537145265,-0.06886584445362785,-0.21422516263197,-0.03751585620601405,-0.00988156662427167,-0.048310402810626776
1691,-0.01554375260447326,-0.022647774477131864,0.18664473092669143,0.03078696245747276,0.03929267480172426,-0.010925626101622342
2167,0.07229691160808614,0.020036586626080717,0.1879106735284044,0.02710546707614498,-0.000406391819082891,-0.03066233514441613
1708,-0.011847936939244921,-0.01883876232364003,0.19199824710277144,0.033347088630163314,0.03936876772295962,0.0005135762325507092
699,-0.017455286729778422,0.07124625331102533,-0.2065617131463548,-0.006179357660950739,-0.01132862430983574,0.07931571987801171
901,-0.05487982253346767,-0.023887759169810063,-0.21457279417942215,-0.03012605808052777,-0.037601401019499284,-0.025352327353300598
782,-0.06340964343214393,-0.03262121687456631,-0.21385488970702313,-0.039084939275878514,-0.042691499144871636,-0.029875924008697655
1704,-0.014096132816498182,-0.029617542276353298,0.18680325146946186,0.03081612164789691,0.03853105096506621,-0.004137251953756675
348,0.06468585130026844,0.07486769010737113,0.08567283348391008,-0.006276526116371778,0.040810747925272464,0.07270091527866365
621,0.07965707986980809,0.07730128399022058,-0.20546831458417167,-0.0071605730922495595,0.049651296897639904,0.08143178506468321
1371,-0.06043406143933014,-0.08142081095778757,-0.21207229375315886,-0.0029058834422306693,0.0014078649921606446,-0.0555373006506246
122,-0.00851639889354534,-0.07163752062161989,-0.2087739866706637,-0.030845613535462713,-0.005811817904107391,0.08145965669121054
641,0.07477246424147012,0.07510652121016007,-0.204444597928328,-0.007972880143437748,0.04514219510085215,0.07162720303342462
1052,-0.06192341556848062,-0.027531505544214525,-0.2158787012419013,-0.04059183287028323,-0.04462897455742927,-0.05618154722507996
2166,0.07435225422404018,0.016055241245953977,0.1922091254521714,0.02981904423900535,-0.0022199825832158494,-0.03301376855951185
1309,-0.010275260054426014,-0.023108392856753427,-0.20928441481732654,-0.00437935646738755,-0.037501420245882065,-0.05495098114040411
892,-0.05519414059469614,-0.026106168217142473,-0.2086080158073759,-0.03937453048358944,-0.041208240641653994,-0.03347557935231652
1776,0.06877847853554254,0.010613679862332064,0.18223336572564652,0.024894785884216668,-0.0019880578412088943,-0.006018595060965967
1431,-0.012622671824767832,-0.019991210394269075,-0.20779923766677358,-0.001663501225400334,-0.04144290960317812,-0.03193657273720975
844,-0.05757926074777279,-0.02418496142507044,-0.21701601745759067,-0.034697395469939954,-0.04097843830500366,-0.033601532261846846
