dataset_name,model_name,observation,metric_params,BreakDown,LIME
hydraulic,IForest,1,"{""normalise"": true, ""nr_samples"": 200}",6.718299478394967,15.769442282034715
hydraulic,IForest,13,"{""normalise"": true, ""nr_samples"": 200}",18.599244996141525,18.75692710078911
hydraulic,IForest,63,"{""normalise"": true, ""nr_samples"": 200}",14.59209025074936,18.314498280505475
hydraulic,IForest,78,"{""normalise"": true, ""nr_samples"": 200}",24.55834158429853,14.176703339904865
hydraulic,IForest,101,"{""normalise"": true, ""nr_samples"": 200}",21.346495140907457,13.340354784318933
hydraulic,IForest,102,"{""normalise"": true, ""nr_samples"": 200}",15.58627179043602,23.821301439748925
hydraulic,IForest,122,"{""normalise"": true, ""nr_samples"": 200}",13.206829246210761,19.923576390717432
hydraulic,IForest,162,"{""normalise"": true, ""nr_samples"": 200}",13.284750632008802,22.058396936367284
hydraulic,IForest,175,"{""normalise"": true, ""nr_samples"": 200}",15.634877777118696,16.475711883421457
hydraulic,IForest,309,"{""normalise"": true, ""nr_samples"": 200}",22.018067094542392,15.96589586222834
hydraulic,IForest,323,"{""normalise"": true, ""nr_samples"": 200}",13.59983026385497,13.263671640259556
hydraulic,IForest,334,"{""normalise"": true, ""nr_samples"": 200}",13.875559246098057,18.078189215612287
hydraulic,IForest,348,"{""normalise"": true, ""nr_samples"": 200}",4.37693056837235,4.213885154557088
hydraulic,IForest,365,"{""normalise"": true, ""nr_samples"": 200}",7.622591695690838,23.423654288693324
hydraulic,IForest,386,"{""normalise"": true, ""nr_samples"": 200}",12.499342556344596,14.815953762301168
hydraulic,IForest,415,"{""normalise"": true, ""nr_samples"": 200}",10.68743685106156,10.896557349980515
hydraulic,IForest,523,"{""normalise"": true, ""nr_samples"": 200}",25.865080119759277,11.026264188522578
hydraulic,IForest,621,"{""normalise"": true, ""nr_samples"": 200}",4.232642907871737,24.800813173036993
hydraulic,IForest,641,"{""normalise"": true, ""nr_samples"": 200}",18.404090377202074,14.031796882811593
hydraulic,IForest,686,"{""normalise"": true, ""nr_samples"": 200}",10.695485679858129,16.178760076160128
hydraulic,IForest,695,"{""normalise"": true, ""nr_samples"": 200}",10.086347937994425,18.583939565380426
hydraulic,IForest,699,"{""normalise"": true, ""nr_samples"": 200}",15.08387427219985,16.925821267430656
hydraulic,IForest,706,"{""normalise"": true, ""nr_samples"": 200}",13.254378630280721,21.35621992054381
hydraulic,IForest,718,"{""normalise"": true, ""nr_samples"": 200}",12.734278150492901,13.141252456870607
hydraulic,IForest,749,"{""normalise"": true, ""nr_samples"": 200}",11.38061900708272,18.489896567111995
hydraulic,IForest,782,"{""normalise"": true, ""nr_samples"": 200}",22.27756357604768,13.088385405415995
hydraulic,IForest,844,"{""normalise"": true, ""nr_samples"": 200}",20.762317348380126,17.3803403687895
