dataset_name,model_name,observation,metric_params,BreakDown,LIME,MAPLE,SHAP
hydraulic,IForest,1,"{""normalise"": true, ""nr_samples"": 200}",7.6964263324045215,19.45316865688739,4.9430936388492706,4.321934781040388
hydraulic,IForest,13,"{""normalise"": true, ""nr_samples"": 200}",16.413187083195233,12.614079265440601,8.29843880843818,8.805812023029961
hydraulic,IForest,63,"{""normalise"": true, ""nr_samples"": 200}",11.628536256100647,15.222675819144408,7.685873683089874,10.20605637836305
hydraulic,IForest,78,"{""normalise"": true, ""nr_samples"": 200}",18.063059928384497,12.550213492734557,16.41457507818004,9.60260961974415
hydraulic,IForest,101,"{""normalise"": true, ""nr_samples"": 200}",13.476441148275812,19.93139416467001,14.916783818629789,10.077645184384558
hydraulic,IForest,102,"{""normalise"": true, ""nr_samples"": 200}",16.784081941011102,15.49395307155917,8.09394689117981,9.985908063192936
hydraulic,IForest,122,"{""normalise"": true, ""nr_samples"": 200}",15.727183083488262,26.2549884822387,9.627251167943214,8.943649542293622
hydraulic,IForest,162,"{""normalise"": true, ""nr_samples"": 200}",17.17052245748986,22.0802423205949,10.993878749688504,13.439218330443657
hydraulic,IForest,175,"{""normalise"": true, ""nr_samples"": 200}",13.486313152324012,23.85279447642958,12.732629080809279,10.575832147573339
hydraulic,IForest,309,"{""normalise"": true, ""nr_samples"": 200}",15.189832511144099,15.544311835372623,8.874162152285244,11.85786497065728
hydraulic,IForest,323,"{""normalise"": true, ""nr_samples"": 200}",13.536804687051122,14.037404947280958,10.479413486544194,9.450110744382219
hydraulic,IForest,334,"{""normalise"": true, ""nr_samples"": 200}",14.245402917051337,25.44392819226139,10.09044061451173,11.60346505181095
hydraulic,IForest,348,"{""normalise"": true, ""nr_samples"": 200}",4.717302454903812,4.276429565552676,4.1350493184085355,3.121232023297708
hydraulic,IForest,365,"{""normalise"": true, ""nr_samples"": 200}",8.413179287284535,14.531678768823584,2.546134276515194,6.877176759686266
hydraulic,IForest,386,"{""normalise"": true, ""nr_samples"": 200}",11.741151064915824,25.620219989470794,4.804334370090418,8.708236294169183
hydraulic,IForest,415,"{""normalise"": true, ""nr_samples"": 200}",11.224421217303977,14.896297835435215,5.839019838983452,4.279148682999793
